,subject,trial,leftrating,rightrating,rt,choice,correct
301,14,11,4,5,2414,0,1
302,14,13,0,4,2062,0,1
303,14,14,0,5,1522,0,1
304,14,15,2,3,1340,0,1
305,14,16,2,4,2136,0,1
306,14,17,2,6,1237,0,1
307,14,18,5,3,2130,1,1
308,14,19,3,2,1489,0,0
309,14,20,1,1,2721,0,0
310,14,21,2,0,2406,1,1
311,14,22,3,4,2504,1,0
312,14,23,3,2,1349,1,1
313,14,24,6,6,1063,0,0
314,14,25,1,0,1917,0,0
315,14,26,1,3,2050,0,1
316,14,27,1,3,2353,1,0
317,14,28,1,0,1895,1,1
318,14,29,5,3,1493,1,1
319,14,30,0,2,2199,1,0
320,14,31,1,3,1902,0,1
321,14,32,2,4,1153,0,1
322,14,33,3,3,2024,1,0
323,14,34,3,0,1923,1,1
324,14,35,3,1,2772,1,1
325,14,36,5,2,2161,1,1
326,14,37,1,4,2088,1,0
327,14,38,4,5,1633,0,1
328,14,39,2,1,1656,0,0
329,14,40,0,4,2284,0,1
330,14,41,0,2,1293,0,1
331,14,42,4,1,1764,0,0
332,14,43,5,0,1420,1,1
333,14,44,5,2,2227,1,1
334,14,45,3,0,1535,1,1
335,14,46,1,5,1739,0,1
336,14,47,0,0,2245,1,0
337,14,48,0,3,1256,0,1
338,14,49,2,1,2104,1,1
339,14,50,2,0,1761,1,1
340,14,51,0,1,1298,0,1
341,14,52,5,0,2719,1,1
342,14,53,1,3,2205,0,1
343,14,54,0,4,2181,1,0
344,14,55,0,0,1324,0,0
345,14,58,1,3,1577,0,1
346,14,59,2,3,2291,0,1
347,14,61,2,4,1686,0,1
348,14,62,3,2,2180,0,0
349,14,63,3,0,2344,0,0
350,14,64,3,3,2085,1,0
351,14,65,0,1,2067,0,1
352,14,66,4,0,1465,1,1
353,14,67,3,5,1587,0,1
354,14,68,3,4,1778,1,0
355,14,69,3,3,1631,1,0
356,14,70,1,4,1592,1,0
357,14,71,3,2,1512,1,1
358,14,72,0,3,1656,1,0
359,14,73,0,1,1639,1,0
360,14,74,1,5,1322,0,1
361,14,75,4,3,1620,0,0
362,14,76,5,2,1247,0,0
363,14,77,0,2,1731,1,0
364,14,82,5,3,1789,1,1
365,14,83,3,1,1116,1,1
366,14,84,0,0,1578,0,0
367,14,85,1,2,2061,1,0
368,14,87,2,0,1442,1,1
369,14,88,4,3,1677,0,0
370,14,90,2,2,2116,1,0
371,14,91,5,3,1315,1,1
372,14,92,2,0,2174,0,0
373,14,93,3,8,1003,1,0
374,14,94,0,4,2759,0,1
375,14,96,1,2,2487,0,1
376,14,98,2,5,1045,0,1
377,14,99,3,2,2121,0,0
378,14,100,3,0,1819,0,0
379,16,1,5,5,1251,0,0
380,16,2,7,8,1038,0,1
381,16,3,5,2,1256,1,1
382,16,4,0,2,1788,0,1
383,16,5,2,6,2499,1,0
384,16,6,5,2,2868,0,0
385,16,7,6,5,1421,0,0
386,16,8,5,6,2446,0,1
387,16,9,3,6,1545,0,1
388,16,10,5,6,3669,0,1
389,16,11,8,6,1818,0,0
390,16,12,10,6,1181,1,1
391,16,13,3,8,1195,0,1
392,16,14,9,10,850,0,1
393,16,15,8,4,1262,0,0
394,16,16,6,3,996,1,1
395,16,17,9,9,1813,1,0
396,16,18,3,5,4718,0,1
397,16,19,5,10,696,0,1
398,16,20,5,2,5891,1,1
399,16,21,5,10,673,0,1
400,16,22,9,6,1172,1,1
401,16,23,5,8,1055,0,1
402,16,24,9,7,1359,0,0
403,16,25,5,8,1337,0,1
404,16,26,6,3,1598,1,1
405,16,27,10,9,818,1,1
406,16,28,6,3,1794,1,1
407,16,29,10,6,698,1,1
408,16,30,6,8,692,0,1
409,16,31,2,7,1482,0,1
410,16,32,2,3,1289,1,0
411,16,33,2,4,1058,0,1
412,16,34,6,9,2231,0,1
413,16,35,6,8,1352,0,1
414,16,36,5,5,2352,1,0
415,16,37,4,5,1021,1,0
416,16,38,3,2,1363,1,1
417,16,39,2,6,1699,1,0
418,16,40,3,6,2748,0,1
419,16,41,6,7,2726,1,0
420,16,42,5,5,2960,0,0
421,16,43,2,2,3257,1,0
422,16,44,10,7,1716,1,1
423,16,45,9,8,1646,1,1
424,16,46,5,6,2453,0,1
425,16,47,9,6,5252,1,1
426,16,48,6,5,1465,1,1
427,16,49,7,2,1355,1,1
428,16,50,6,2,1379,0,0
429,16,51,6,10,875,0,1
430,16,52,5,3,1277,0,0
431,16,53,6,6,867,1,0
432,16,54,8,8,2134,0,0
433,16,55,6,9,1567,0,1
434,16,56,8,5,1213,1,1
435,16,57,7,9,3139,0,1
436,16,58,3,7,1347,0,1
437,16,59,2,5,1307,0,1
438,16,60,9,8,1266,1,1
439,16,61,2,6,2430,0,1
440,16,62,9,6,1396,0,0
441,16,63,5,5,1187,0,0
442,16,64,6,9,1687,0,1
443,16,65,5,0,1134,1,1
444,16,66,6,7,1629,0,1
445,16,67,5,9,1054,0,1
446,16,68,8,10,1516,0,1
447,16,69,7,10,1444,0,1
448,16,70,7,6,1793,0,0
449,16,71,5,8,3844,0,1
450,16,72,0,2,1247,0,1
451,16,73,8,4,1153,1,1
452,16,74,9,6,1575,1,1
453,16,75,5,0,2018,1,1
454,16,76,8,10,1002,0,1
455,16,77,2,2,2051,0,0
456,16,78,3,6,2490,0,1
457,16,79,6,5,2328,1,1
458,16,80,5,10,1006,0,1
459,16,81,6,10,1301,0,1
460,16,82,6,10,5621,0,1
461,16,83,6,10,1293,0,1
462,16,84,7,6,1385,1,1
463,16,85,10,5,869,1,1
464,16,86,5,0,1749,1,1
465,16,87,8,5,772,1,1
466,16,88,7,9,1277,0,1
467,16,89,7,6,1256,1,1
468,16,90,9,10,1094,0,1
469,16,91,5,10,1420,0,1
470,16,92,6,6,1163,0,0
471,16,93,7,8,3523,1,0
472,16,94,9,9,1450,0,0
473,16,95,10,5,860,1,1
474,16,96,6,6,1056,0,0
475,16,97,7,5,1025,1,1
476,16,98,9,5,815,1,1
477,16,99,5,3,1503,1,1
478,16,100,4,5,2128,1,0
479,17,1,0,0,1191,1,0
480,17,2,0,1,1660,1,0
481,17,3,2,0,1338,0,0
482,17,4,0,0,1056,1,0
483,17,5,1,0,1073,1,1
484,17,6,2,4,1107,0,1
485,17,7,0,0,996,0,0
486,17,8,1,4,756,1,0
487,17,9,0,4,1367,1,0
488,17,10,5,5,998,1,0
489,17,11,2,4,1248,1,0
490,17,12,2,1,1376,0,0
491,17,13,2,3,1116,1,0
492,17,14,4,2,1161,1,1
493,17,15,0,3,1316,0,1
494,17,16,5,2,947,1,1
495,17,17,0,3,1311,1,0
496,17,18,4,0,1166,1,1
497,17,19,3,3,1271,0,0
498,17,20,0,0,1053,0,0
499,17,21,3,4,1193,1,0
500,17,22,5,6,1746,1,0
501,17,23,2,3,1494,0,1
502,17,24,0,3,1133,0,1
503,17,25,2,0,1143,1,1
504,17,26,5,2,1112,1,1
505,17,27,3,0,1132,1,1
506,17,28,2,5,1362,1,0
507,17,29,5,2,1725,1,1
508,17,30,0,2,1153,1,0
509,17,31,5,2,1675,0,0
510,17,32,1,2,1178,1,0
511,17,33,2,1,1829,1,1
512,17,34,2,2,1647,0,0
513,17,35,0,2,2216,0,1
514,17,36,2,2,1246,0,0
515,17,37,0,3,1633,1,0
516,17,38,2,2,992,1,0
517,17,39,3,1,1447,1,1
518,17,40,2,0,1453,1,1
519,17,41,3,2,1683,1,1
520,17,42,3,2,1494,1,1
521,17,43,3,0,1375,1,1
522,17,44,2,2,1400,0,0
523,17,45,6,2,1286,1,1
524,17,46,0,0,1399,1,0
525,17,47,6,1,1581,1,1
526,17,48,2,4,1062,1,0
527,17,49,1,2,1249,0,1
528,17,50,2,4,1073,1,0
529,17,51,1,2,1364,0,1
530,17,52,3,2,1006,1,1
531,17,53,3,2,1087,1,1
532,17,54,2,4,1166,0,1
533,17,55,0,2,1280,0,1
534,17,56,2,3,1034,0,1
535,17,57,0,2,1585,1,0
536,17,58,2,2,933,0,0
537,17,59,2,0,919,1,1
538,17,60,0,2,1001,0,1
539,17,61,3,5,1594,1,0
540,17,62,0,0,1169,1,0
541,17,63,3,2,1386,1,1
542,17,64,1,0,1132,1,1
543,17,65,0,0,1220,1,0
544,17,66,3,1,1025,1,1
