alpha,tau,nu 1,nu 2,nu 3,nu 4,nu 5,nu 6,nu 7,nu 8,nu 9,nu 10,nu 11,nu 12,nu 13,nu 14,nu 15,nu 16,nu 17
2.6744528023164036,0.4555887949161063,-3.002873763071072,-2.264034253147211,1.7259292546958236,-0.8172063366650917,-2.205272275735115,2.4418696532492716,2.8080759162937223,1.3855801227247313,0.5058290911412282,-2.2729540500293552,-2.4828352045959714,-1.8457069984818786,-2.1591001831418732,-2.243462944202157,0.7082077388774354,-2.333353023751081,2.1345222591518977
2.279573152129467,0.35922468724066514,-1.2049199306052283,-1.1038788126793646,-1.6535358120304147,-2.6898315187876687,-1.2920030856913154,-1.8063249635904417,-2.429357882416355,-1.8459787564769794,-1.8932418602397378,-1.0318001037468034,-1.5402295200879148,-2.084316891506108,2.7903020588339715,1.4763454682877928,2.474549678651827,-2.055106392643965,-2.867550603228022
2.1496301954405275,0.3907796670778883,-1.7880904761206038,1.448768350763293,-0.7427869572405993,1.0566372418836036,1.8386739457091914,-1.3602291656398655,2.185605643914843,1.5638486244215755,-1.642976411311882,-2.1507517103995526,-1.842992954854589,-1.9282658209686852,-0.8576324954928528,-1.5376138020896262,2.5873541695446205,0.4601904075905808,1.8243241239067753
2.7974687616144487,0.2941495685568978,1.956197083027364,0.3185259407521161,-0.8401555530470938,0.894105410421246,1.2725903132845677,0.9155915946570582,0.45380505985778474,0.6971227872848457,1.2681781580739497,1.2046256606359678,-0.5082415704403528,0.2159301771470919,-0.4181040724001794,-0.6879812406596885,0.0007534549345608819,-1.274151189680021,-1.012765035394295
2.0222635382813032,0.2846687439775537,-2.4814595444289202,1.7536533049123488,-1.8229137486483282,1.8038356146396317,-0.5717578985781873,-1.1182731149290968,2.2896447360116112,2.034376433221807,0.7320709672060197,1.9276658036632355,0.9609677980759079,-1.2346752684807922,2.374448942246199,-1.1446983723683406,2.3200351664982906,-2.9754080886075913,-1.2354687137336593
2.284956610612575,0.35543095990408763,1.7646849393327277,-1.3304169493551745,2.230045911292803,1.2547298368767372,-3.1692747211533545,-1.329152444863175,1.8511955459582612,0.5650603171960974,-3.462454238627829,-2.47950386124215,1.5764089591778634,-1.1740775641232206,-1.7205518015676957,-2.65241235934615,1.2046740864342398,-3.3729997240887606,-2.0447417672447847
2.3887386727557685,0.27195917874173764,-2.46598703546502,1.478641377102949,2.8629497737176077,2.0492643392463883,1.5805407616538942,-1.537281139251441,2.410185015813026,-1.192357389634929,1.5974886995880162,2.3221178285593136,1.9911302583984434,1.3812746214478056,1.1002616012303816,3.3124131757701645,1.0779733843704224,2.0531380887490456,-1.8731266959144206
2.674535644961176,0.13910472648975827,-2.3807653365334516,-2.4384771902133875,-3.288384324842905,1.6855424214280335,2.4010264837980206,-1.3072598906841395,1.6400377117846177,-1.914877995938344,-2.3882888411278183,-1.6442081554385477,-2.168811360142025,-2.523150529585266,0.2490369708489743,-0.0013489635612114203,-1.6112354541561322,1.5934763188548569,-2.1392710070447314
2.173680976024348,0.44399602066370897,2.28060365944766,-1.2537385392252722,-1.6366846034505425,2.556129904664667,3.643734701491203,0.18065628110778653,4.535617055091873,-0.7975311725175183,-1.7996246012110328,3.062832117087303,1.4460577448788718,2.0866088358556576,-1.0989922622345476,2.661209476116723,-1.6603122870633953,2.937579808849465,-2.1487442932399783
2.1492734428615887,0.3554800749552017,-2.615809125763926,1.1941555662680958,-2.0768399293318427,-1.7831178243302288,1.2149754641881394,-1.3894042726842184,-2.766154673617991,-1.744660417915679,-1.8469362881944327,0.5765142906738255,3.2711008756030284,-2.377781010048374,-1.4400051513604557,2.1182203554074635,-3.3383995932614576,2.823555966425176,-2.176916238257558
1.795102001284861,0.3553577480058503,-2.5018177728104485,-0.09866713894701619,4.299810678115963,3.336326646865744,1.81818342297069,3.0372292136042334,5.258742442272329,-0.8764952848015856,2.3550340282407944,3.924538896149029,2.223066273920081,1.9495205786920036,3.0506421356949986,-0.49919765894585705,-0.6960989605917732,4.399820602520768,5.536631384513914
1.808656419966096,0.41762906137618977,-1.4896811112050714,-2.6480460478013375,-2.8235768841741264,1.1655217237457798,0.9962019742961138,-2.069467994785148,3.435828427381292,1.4232771893520777,0.5059540787908643,-1.9147476876353482,-0.27236235651177676,-3.6425077159167705,-2.5587374389509305,-0.6406692091905108,-1.9237056543581486,2.214243297110281,1.1275184670016436
